rec_id,culture,given_name,surname,sex,date_of_birth
rec-100-org,afr,jongilanga,pursell,f,19530219
rec-101-org,afr,mehret,pike,,19900823
rec-102-org,afr,akua,fisk,f,19671106
rec-103-org,afr,aissa,adenaike,f,19910415
rec-104-org,afr,rachida,knous,f,
rec-105-org,afr,ibezimako,absher,f,19980126
rec-106-org,afr,chikozi,mampori,f,19671031
rec-107-org,afr,admassu,muruli,m,
rec-108-org,afr,sheena,fadana,f,19660715
rec-109-org,afr,nyasha,salkeld,f,20020227
rec-110-org,afr,konata,nyadundo,,19610616
rec-111-org,afr,nyambura,kachela,f,19571130
rec-112-org,afr,bilali,ogonga,f,
rec-113-org,afr,chata,skea,m,19750727
rec-114-org,afr,yaro,bakker,m,
rec-115-org,afr,kudyauku,imboela,f,19940816
rec-116-org,afr,mwata,maji,f,19410622
rec-117-org,afr,obiageli,rudd,f,
rec-118-org,afr,teremesha,bunu,m,19460122
rec-119-org,afr,kuaku,ahrens,f,19821206
rec-120-org,afr,ifiok,streak,,19860328
rec-121-org,afr,mayeso,gumede,f,19751120
rec-122-org,afr,anan,namanda,f,19560310
rec-123-org,afr,filbert,mace,,19710818
rec-124-org,afr,mwalimu,ebor,f,20001031
rec-125-org,afr,nkechi,mulcahy,,19461124
rec-126-org,afr,okikiola,otambo,f,19630509
rec-127-org,afr,yehlem,toweett,f,20010306
rec-128-org,afr,yejide,rich,f,19580111
rec-129-org,afr,sibusisiwe,hermanson,m,19821210
rec-130-org,afr,kwensi,stark,f,19510730
rec-131-org,afr,oringo,yaji,,19470128
rec-132-org,afr,nazi,nair,f,19960109
rec-133-org,afr,thulile,lawal,f,19420919
rec-134-org,afr,oluwafunm,thomas,f,19700709
rec-135-org,afr,jahazel,squires,m,19501228
rec-136-org,afr,fethee,mwangangi,,19540418
rec-137-org,afr,olajowon,paulse,f,
rec-138-org,afr,obaseki,ibiniisei,f,19760305
rec-139-org,afr,takata,sichilongo,f,19480903
rec-140-org,afr,kabaila,allan,m,19860804
rec-141-org,afr,fakhta,ahlers,f,19871004
rec-142-org,afr,onwuamaegbu,randles,f,19911124
rec-143-org,afr,nnenia,olweny,f,19790726
rec-144-org,afr,iheoma,kuun,f,19821201
rec-145-org,afr,chuma,wamwiri,,19650111
rec-146-org,afr,nwabugwu,ndubani,f,19910613
rec-147-org,afr,kamili,karmali,f,19821224
rec-148-org,afr,time,mbale,f,19601120
rec-149-org,afr,nyaga,hinguluma,f,19571122
rec-150-org,afr,ashaki,mukoka,f,19551009
rec-151-org,afr,koshi,thindwa,f,19970714
rec-152-org,afr,tinhinan,datoru,f,
rec-153-org,afr,nayfa,kadzuwa,m,19480722
rec-154-org,afr,,akpan,f,19910525
rec-155-org,afr,abazza,mutunga,f,19591024
rec-156-org,afr,musu,repsold,,20010113
rec-157-org,afr,fana,kalau,,19530611
rec-158-org,afr,kimya,mworeko,m,19900804
rec-159-org,afr,ufa,mcsporran,m,19880719
rec-160-org,afr,chiumbo,kayuni,,19731112
rec-161-org,afr,chikezie,dala,m,19420114
rec-162-org,afr,akano,kiilu,m,
rec-163-org,afr,ime,greeff,f,19431220
rec-164-org,afr,stara,kughegbe,m,19521107
rec-165-org,afr,ahonya,langeveld,m,19970918
rec-166-org,afr,maimuna,cahill,f,19450303
rec-167-org,afr,esiankiki,kibore,f,19570201
rec-168-org,afr,afia,sseppuya,f,19691114
rec-169-org,afr,rubanza,kajumba,f,19890712
rec-170-org,afr,mzuzi,tunoi,f,19730404
rec-171-org,afr,iyasu,makolo,f,19740128
rec-172-org,afr,ennesbek,rushton,m,19890112
rec-173-org,afr,teiko,kilego,f,19960731
rec-174-org,afr,akiba,mighty,,
rec-175-org,afr,madele,,,20000620
rec-176-org,afr,uzowulu,kaiche,,19470202
rec-177-org,afr,kunto,garra,f,19450112
rec-178-org,afr,kuaku,mlozi,,20020208
rec-179-org,afr,sika,chitepo,,
rec-180-org,afr,sihle,mckenzie,,19880630
rec-181-org,afr,simiya,bayo,,19950127
rec-182-org,afr,bushira,rwigyema,f,
rec-183-org,afr,ruguru,campbell,f,
rec-184-org,afr,waseme,niewenhuis,m,
rec-185-org,afr,jonigan,newman,,19550319
rec-186-org,afr,ashitsoo,langa,m,19620214
rec-187-org,afr,yihana,putterill,f,19780819
rec-188-org,afr,mannet,squires,f,20020507
rec-189-org,afr,meligqili,ekubia,f,19810531
rec-190-org,afr,zwina,moiben,f,19731027
rec-191-org,afr,mapenzi,fall,f,19620409
rec-192-org,afr,maizah,guelleh,f,19481105
rec-193-org,afr,zukisa,abba,f,19420315
rec-194-org,afr,donyell,demink,f,19790423
rec-195-org,afr,rozi,hatting,,19890706
rec-196-org,afr,chazmin,mbabaali,f,19780715
rec-197-org,afr,amsalu,saunders,m,19630715
rec-198-org,afr,amghnna,mbogo,f,19921211
rec-199-org,afr,ayikaile,casowe,,19830830
rec-200-org,afr,sigolwide,skinner,f,19830623
rec-201-org,afr,nozipho,majwega,m,19591014
rec-202-org,afr,ekenedilichukwu,albertus,f,19721129
rec-203-org,afr,ilisapesi,ghir,f,19710410
rec-204-org,afr,teko,muhavi,f,19580726
rec-205-org,afr,onie,obidile,m,20001210
rec-206-org,afr,magriet,singh,f,20000831
rec-207-org,afr,tabita,earl,f,19831014
rec-208-org,afr,krune,rutto,m,19780718
rec-209-org,afr,banny,jeptoo,f,
rec-210-org,afr,salla,tambatamba,,
rec-211-org,afr,ozo,thesiger,,19400205
rec-212-org,afr,mballa,carpenter,f,
rec-213-org,afr,aza,nyatsumba,f,
rec-214-org,afr,mawunyo,dumba,f,19520723
rec-215-org,afr,chikere,jepkosgei,m,20011211
rec-216-org,afr,sowande,obazuaye,f,19500211
rec-217-org,afr,dupe,aladefa,,19460719
rec-218-org,afr,zhinga,madeley,f,
rec-219-org,afr,bikitsha,flink,m,19980419
rec-220-org,afr,lumo,germushuizen,m,19990114
rec-221-org,afr,,habe,f,19510522
rec-222-org,afr,eniola,elliott,f,19851028
rec-223-org,afr,takatifu,mohochi,m,
rec-224-org,afr,lesonn,mugoya,f,19680913
rec-225-org,afr,liu,simukonda,m,19650429
rec-226-org,afr,kansiwa,came,,19570713
rec-227-org,afr,,heymans,f,19400217
rec-228-org,afr,yirdaw,wiffen,f,19480506
rec-229-org,afr,kendi,tapscott,f,
rec-230-org,afr,zikoranau,mphatso,f,19580309
rec-231-org,afr,ngina,kabarry,,19810726
rec-232-org,afr,joycelin,thawani,,20001001
rec-233-org,afr,eberegbul,cheetham,,19450713
rec-234-org,afr,jabulani,forsyth,,
rec-235-org,afr,idi,omondi,f,19750609
rec-236-org,afr,asha,obua,f,19841003
rec-237-org,afr,tumelo,bigombe,,19720320
rec-238-org,afr,aziza,langford,f,
rec-239-org,afr,nuaha,heydenrych,f,19590907
rec-240-org,afr,dalanette,greiffenstein,f,19710720
rec-241-org,afr,sobhuza,troutman,f,
rec-242-org,afr,chineso,onubogu,m,19520915
rec-243-org,afr,siwazuri,baldacchino,f,19790312
rec-244-org,afr,azubuike,soga,f,20011007
rec-245-org,afr,hurani,aniebo,,19490504
rec-246-org,afr,moges,meyntinghs,f,20020309
rec-247-org,afr,,banjo,,19731222
rec-248-org,afr,njora,oluoch,f,19680804
rec-249-org,afr,tabita,baldwin,f,19541020
rec-250-org,afr,gharibuu,mwanagaza,,19480808
rec-251-org,afr,ayinde,joseph,f,
rec-252-org,afr,diop,leschinsky,f,19740322
rec-253-org,afr,dini,akaranga,f,19770220
rec-254-org,afr,evinder,chimoba,f,19470131
rec-255-org,afr,kwaku,leggat,,19541230
rec-256-org,afr,zauditu,yirga,,
rec-257-org,afr,mikaili,bethwell,f,19530604
rec-258-org,afr,kosisochu,marton,f,19830725
rec-259-org,afr,liu,pattinson,,19440603
rec-260-org,afr,hondo,grunberger,f,19791002
rec-261-org,afr,deshun,oculi,m,19860324
rec-262-org,afr,gathee,larkin,f,
rec-263-org,afr,isoke,chipunza,f,19551207
rec-264-org,afr,dofi,ntombela,f,19980129
rec-265-org,afr,kennia,tefu,m,19670528
rec-266-org,afr,folasade,chondoka,m,19400828
rec-267-org,afr,gikuyu,oarhe,m,19641102
rec-268-org,afr,kamilya,abdi,f,19420414
rec-269-org,afr,kenyangi,chirambo,f,19970407
rec-270-org,afr,twaponilo,msomi,m,19900225
rec-271-org,afr,gwamniru,namayanja,f,19500726
rec-272-org,afr,elesbaan,hashim,m,19530711
rec-273-org,afr,kwamin,loretz,f,19450315
rec-274-org,afr,omont,kasambala,f,19821030
rec-275-org,afr,hemmuc,schoonraad,,19701122
rec-276-org,afr,tyana,aku,f,20010812
rec-277-org,afr,mkamba,,f,19511009
rec-278-org,afr,nangwaya,abuchi,f,19440420
rec-279-org,afr,onaje,angira,,19960719
rec-280-org,afr,cherrise,munaaba,,19490714
rec-281-org,afr,yonkela,nakazwe,f,19830214
rec-282-org,afr,ketso,carstens,f,19971021
rec-283-org,afr,hemmuc,chukwura,f,
rec-284-org,afr,doaui,akiga,,19480503
rec-285-org,afr,nganga,munyeme,,20020616
rec-286-org,afr,nkosinath,stratford,f,20010528
rec-287-org,afr,siphiwe,longosiwa,f,20001026
rec-288-org,afr,haile,mbao,f,19900202
rec-289-org,afr,ukessun,kughegbe,,19641214
rec-290-org,afr,nne,pautz,f,19980813
rec-291-org,afr,safari,scotton,,19720806
rec-292-org,afr,amayas,chamanga,f,
rec-293-org,afr,eijonnae,green,f,19941020
rec-294-org,afr,milele,ikpeme,f,19800601
rec-295-org,afr,,madge,f,19551124
rec-296-org,afr,yamikani,mugoya,f,19701004
rec-297-org,afr,nanjala,shamakamba,,19951230
rec-298-org,afr,ozoamaka,boghossian,f,19920414
rec-299-org,afr,nameni,kayiira,f,20000217
rec-300-org,afr,chinecher,richards,f,20000808
rec-301-org,afr,kamili,leschinsky,f,20010619
rec-302-org,afr,jamarr,nsambu,,19570511
rec-303-org,afr,adesina,kahata,f,19621117
rec-304-org,afr,kaisha,anaba,f,
rec-305-org,afr,oluwatoyin,lambie,f,19690913
rec-306-org,afr,bendera,,f,19791225
rec-307-org,afr,lantoniai,hikalinda,f,19730821
rec-308-org,afr,bisa,upton,f,
rec-309-org,afr,karabo,ezinwa,f,19531017
rec-310-org,afr,zinsa,schoen,,19960715
rec-311-org,afr,rakibum,sehlke,f,19850209
rec-312-org,afr,nonceba,verbeek,f,19881216
rec-313-org,afr,kambina,legwaila,f,
rec-314-org,afr,werknesh,strijdom,f,19620903
rec-315-org,afr,nnenna,weilert,f,19830916
rec-316-org,afr,onyedinma,senyonjo,f,19530902
rec-317-org,afr,sadiki,ivey,m,19690929
rec-318-org,afr,matuko,oguntokun,f,19570815
rec-319-org,afr,katokwe,irobiso,,19890626
rec-320-org,afr,nyanza,leibbrandt,f,19750806
rec-321-org,afr,muriu,nyanzi,f,19830518
rec-322-org,afr,ayoola,gebremedhin,f,19430731
rec-323-org,afr,hatari,barighaamange,f,19980812
rec-324-org,afr,gbodi,statt,f,19520619
rec-325-org,afr,ano,galoon,m,19500302
rec-326-org,afr,njeri,apam,f,
rec-327-org,afr,azomino,katusi,,19590607
rec-328-org,afr,ugwunna,smuts,f,20010704
rec-329-org,afr,dalicia,adebamowo,f,19551201
rec-330-org,afr,monisha,wanja,,20001116
rec-331-org,afr,nsoah,musuku,f,19621101
rec-332-org,afr,mxali,,f,19400821
rec-333-org,afr,nodayimni,chilemba,,19941123
rec-334-org,afr,kiume,duvinhage,f,19750919
rec-335-org,afr,vianna,ekaette,f,19970117
rec-336-org,afr,ijoma,janecke,,19751211
rec-337-org,afr,mmanga,,m,19860626
rec-338-org,afr,labana,fasehun,f,19751101
rec-339-org,afr,,bird,f,19641021
rec-340-org,afr,shamba,kogo,f,19860118
rec-341-org,afr,amachi,omodiagbe,f,19920824
rec-342-org,afr,zeinab,effiom,f,20021115
rec-343-org,afr,kadidu,mpenzere,,20010414
rec-344-org,afr,taffounnout,feiney,f,19470115
rec-345-org,afr,khalfani,winter,m,19851108
rec-346-org,afr,mrehe,akpovi,f,19501019
rec-347-org,afr,keanyandaarwa,kosviner,f,19820415
rec-348-org,afr,pulika,ebenezer,,19910831
rec-349-org,afr,kajombo,tiernay,f,19841026
rec-350-org,afr,rasidi,heyi,m,
rec-351-org,afr,so,mogaladi,f,20001219
rec-352-org,afr,alake,eilor,f,19810809
rec-353-org,afr,udokamma,kayongo,,19680605
rec-354-org,afr,kambiri,motaung,f,19420126
rec-355-org,afr,lisimba,kleinhans,f,19420513
rec-356-org,afr,dumeto,diemel,f,19511011
rec-357-org,afr,githogori,garenamotse,,20020802
rec-358-org,afr,ajoke,dubois,f,19480113
rec-359-org,afr,,zegeye,f,20010913
rec-360-org,afr,dukuzumurenyi,chukwunyelu,f,19540825
rec-361-org,afr,raashida,eden,f,19770116
rec-362-org,afr,legesse,ogunsania,,19871229
rec-363-org,afr,dorleta,,f,19770913
rec-364-org,afr,malaika,deres,f,19620608
rec-365-org,afr,chiganu,lubilo,,19580913
rec-366-org,afr,nnenna,adeusi,f,19440902
rec-367-org,afr,kwatekai,leonard,,19920217
rec-368-org,afr,kihiga,deering,m,
rec-369-org,afr,maduabuchi,sibeko,f,19411130
rec-370-org,afr,windrick,kapatsa,,19690114
rec-371-org,afr,japera,mombi,f,
rec-372-org,afr,nsia,tutuola,f,20010417
rec-373-org,afr,makeda,ebershon,f,19421021
rec-374-org,afr,ibezimako,redsan,,19460511
rec-375-org,afr,hajari,easters,f,19450325
rec-376-org,afr,mpasa,dauth,,19561230
rec-377-org,afr,boseday,okon,f,19780425
rec-378-org,afr,shiminege,firth,,19690215
rec-379-org,afr,mukupa,kalabulo,f,19800802
rec-380-org,afr,malek,,f,19590410
rec-381-org,afr,obiageli,ditaola,f,19520601
rec-382-org,afr,nkosinath,koller,f,20011112
rec-383-org,afr,shamir,mthembu,,19781218
rec-384-org,afr,ruguru,njobvu,f,
rec-385-org,afr,yasini,emeagwali,,
rec-386-org,afr,taiwana,ralph,f,20020810
rec-387-org,afr,mwinyimkuu,muloni,f,19780801
rec-388-org,afr,ruusa,sungura,,19710517
rec-389-org,afr,nwagboso,namugala,f,19950918
rec-390-org,afr,erinmwind,muzanenhamo,f,19861211
rec-391-org,afr,hotha,osanebi,f,20020627
rec-392-org,afr,amur,awosola,f,19740225
rec-393-org,afr,sanura,massa,f,
rec-394-org,afr,akinlabi,light,f,19450724
rec-395-org,afr,njora,osei,f,19860918
rec-396-org,afr,betserai,egbunike,f,19520606
rec-397-org,afr,houari,sauls,f,19891231
rec-398-org,afr,chipita,marangu,,19970218
rec-399-org,afr,adanna,mugerwa,f,19600918
rec-400-org,afr,badru,fadana,f,19600419
rec-401-org,afr,nyaguthii,chamba,,19831215
rec-402-org,afr,mthikraka,mukunka,m,19430615
rec-403-org,afr,yihana,symington,f,19440603
rec-404-org,afr,sukatai,enyiazu,f,19971218
rec-405-org,afr,onwumelu,jere,,19480203
rec-406-org,afr,chiwocha,poss,f,19851126
rec-407-org,afr,ogbo,obaretiri,f,19440808
rec-408-org,afr,ntombi,obanta,f,
rec-409-org,afr,,kapondi,f,19790823
rec-410-org,afr,asumini,adugna,f,
rec-411-org,afr,tichawonna,auma,f,20020114
rec-412-org,afr,tabita,doyle,f,19780503
rec-413-org,afr,amandani,tafa,f,19960605
rec-414-org,afr,adebowale,scheidat,m,19950210
rec-415-org,afr,amakai,canniford,f,19500731
rec-416-org,afr,sandile,kabugo,f,19670812
rec-417-org,afr,nkosinath,emmanuel,f,19700426
rec-418-org,afr,habimama,whall,f,19770219
rec-419-org,afr,jahi,strand,f,
rec-420-org,afr,mchawi,timms,f,19670828
rec-421-org,afr,aret,qoboza,,19730728
rec-422-org,afr,mukondi,miheso,f,19690514
rec-423-org,afr,onwughara,akanji,f,20010821
rec-424-org,afr,betserai,kahenya,f,19570410
rec-425-org,afr,mpenzi,,f,19860212
rec-426-org,afr,idowu,nkungulu,m,19820326
rec-427-org,afr,elewechi,daba,f,19571010
rec-428-org,afr,ndidiamak,stemmet,f,19811002
rec-429-org,afr,leabie,daska,,19420918
rec-430-org,afr,aberash,saul,f,19980407
rec-431-org,afr,umukoro,duru,f,19930106
rec-432-org,afr,tsiresy,rosslein,f,19810712
rec-433-org,afr,andongwisye,winnaar,f,
rec-434-org,afr,akiba,lokodo,m,20010220
rec-435-org,afr,pulika,tutton,m,19510611
rec-436-org,afr,,oladapo,f,19610207
rec-437-org,afr,berhanu,rosenthal,f,19720427
rec-438-org,afr,jifunza,adeniken,f,
rec-439-org,afr,nnenne,gumo,f,19600402
rec-440-org,afr,thiongo,chalila,f,19500225
rec-441-org,afr,teshi,styles,,19960730
rec-442-org,afr,zira,mowsowitz,,19820204
rec-443-org,afr,ebere,kleinhans,f,19910524
rec-444-org,afr,semei,gutu,m,19630119
rec-445-org,afr,nyokabi,scrooby,,19870425
rec-446-org,afr,oluwafunm,labarre,,19701216
rec-447-org,afr,miniya,ojo,f,19530108
rec-448-org,afr,kimah,kinyanjui,f,19980701
rec-449-org,afr,nwan,twala,f,20011205
rec-450-org,afr,,moropedi,,19710715
rec-451-org,afr,sibusisiwe,verwey,,19501006
rec-452-org,afr,ezinma,lund,m,19461017
rec-453-org,afr,nombese,moosa,m,19630302
rec-454-org,afr,gebreegziabhear,chiejine,f,19970918
rec-455-org,afr,asha,,f,19980728
rec-456-org,afr,lahai,,m,19840108
rec-457-org,afr,shirrell,doubell,f,19670303
rec-458-org,afr,noma,mbazzi,f,19740619
rec-459-org,afr,keenya,brigidi,f,
rec-460-org,afr,immeghar,rademeyer,f,
rec-461-org,afr,bezzi,lamb,f,19430423
rec-462-org,afr,mthikraka,titus,,19480923
rec-463-org,afr,afraisa,chifuwe,f,20010516
rec-464-org,afr,kwesi,mugane,f,19730309
rec-465-org,afr,dashiki,,f,19400727
rec-466-org,afr,thenga,akiibua,f,19761218
rec-467-org,afr,olayinka,wiesner,m,19570320
rec-468-org,afr,adelaja,ngwogu,,19530521
rec-469-org,afr,akueni,mukubo,f,
rec-470-org,afr,zinachidi,njongwe,f,20000921
rec-471-org,afr,uzochi,namo,,
rec-472-org,afr,chione,miles,m,19421117
rec-473-org,afr,selas,siwale,,19890803
rec-474-org,afr,muhammadu,kumalo,f,19781216
rec-475-org,afr,miano,debele,f,
rec-476-org,afr,chihambuane,wakefield,f,19511127
rec-477-org,afr,chiwa,ejindu,f,19520608
rec-478-org,afr,chinika,kalenga,m,19640315
rec-479-org,afr,leishah,seen,f,19491215
rec-480-org,afr,gamba,herselman,,19500310
rec-481-org,afr,mariame,lukyamuzi,m,19641111
rec-482-org,afr,fadhili,malindima,m,20000527
rec-483-org,afr,sakidi,friebus,f,19641003
rec-484-org,afr,visolela,stroud,,19791027
rec-485-org,afr,iraten,isa,,19990926
rec-486-org,afr,zamani,godana,f,19650706
rec-487-org,afr,kianjahe,snaith,f,19910718
rec-488-org,afr,massiva,paruk,,19501124
rec-489-org,afr,thiongo,obita,f,19660101
rec-490-org,afr,zula,bulaya,f,19890605
rec-491-org,afr,olabode,rooza,f,19470702
rec-492-org,afr,tadmut,kalaba,f,19780513
rec-493-org,afr,azalee,rousseau,f,19651122
rec-494-org,afr,shiferaw,gerryts,m,19451206
rec-495-org,afr,kizuwanda,oyeledun,f,19740401
rec-496-org,afr,ili,muchelenganga,f,19970208
rec-497-org,afr,totit,mwanachilenga,f,19720615
rec-498-org,afr,jata,,f,19920307
rec-499-org,afr,dalali,mutuweta,f,19461122
rec-500-org,afr,limbe,nuru,,
rec-501-org,afr,kanika,macharinyang,f,19561126
rec-502-org,afr,tafari,ehwareme,f,19830107
rec-503-org,afr,nkululeko,getu,,20020413
rec-504-org,afr,tambika,myburg,,19421210
rec-505-org,afr,ogechi,raw,,19571211
rec-506-org,afr,fogo,neumann,,19460217
rec-507-org,afr,zarassa,liesker,,19850326
rec-508-org,afr,fayola,sampa,f,19680312
rec-509-org,afr,nze,bonga,,19671228
rec-510-org,afr,meqwran,hertog,f,20000624
rec-511-org,afr,ajjan,adenihun,f,
rec-512-org,afr,njururi,luden,m,19971005
rec-513-org,afr,safiyeh,spotswood,f,19520128
rec-514-org,afr,akwasiba,twala,f,19811022
rec-515-org,afr,ejiroghene,kitchen,f,19790914
rec-516-org,afr,adetokunbo,griessel,m,19840104
rec-517-org,afr,oban,musokenteyafas,f,19650708
rec-518-org,afr,eberechukwu,stokes,,19720123
rec-519-org,afr,noni,bagudu,f,19430509
rec-520-org,afr,masozi,nurudeen,m,19481007
rec-521-org,afr,kitengi,abay,f,19880127
rec-522-org,afr,muyaka,masango,f,19901025
rec-523-org,afr,yejide,biira,f,19960125
rec-524-org,afr,,namukasa,f,19811203
rec-525-org,afr,ayikaifo,onubogu,f,20010625
rec-526-org,afr,ndu,ondoro,m,19610308
rec-527-org,afr,chieloka,bazira,,19640619
rec-528-org,afr,adetoun,mukwanga,f,19660925
rec-529-org,afr,yohannas,akinsehinde,m,19861029
rec-530-org,afr,ladawn,sanusi,f,19610302
rec-531-org,afr,dhoruba,chirlee,,19500218
rec-532-org,afr,koku,matimba,m,19990530
rec-533-org,afr,hajari,kabumba,f,19610316
rec-534-org,afr,nashy,amoo,f,19971024
rec-535-org,afr,tavavich,tancred,f,20020830
rec-536-org,afr,mandondo,mnene,m,
rec-537-org,afr,bendera,otieno,f,19511223
rec-538-org,afr,odatei,katembula,f,
rec-539-org,afr,chimaijem,oluwole,m,19530522
rec-540-org,afr,,dikeh,f,19580323
rec-541-org,afr,ayoola,adegoke,f,19760825
rec-542-org,afr,ekua,barro,f,19750901
rec-543-org,afr,ndunga,kgosiang,f,20000306
rec-544-org,afr,,mukuma,f,19511112
rec-545-org,afr,aminu,emafo,f,19500625
rec-546-org,afr,ibezimako,mwansa,f,19790204
rec-547-org,afr,adhane,ashenafi,m,
rec-548-org,afr,gamada,row,f,19500203
rec-549-org,afr,xavion,bains,,19400515
rec-550-org,afr,siyani,hirji,f,19531017
rec-551-org,afr,chiemezie,sozi,f,19910123
rec-552-org,afr,zihur,wyngaard,f,19751015
rec-553-org,afr,uchechukwu,tata-muya,,19671027
rec-554-org,afr,gogo,oparanozie,f,
rec-555-org,afr,kimameta,popjoy,f,19870421
rec-556-org,afr,dridzieny,oshonaike,m,19910102
rec-557-org,afr,dumaka,fulani,,19470503
rec-558-org,afr,teryl,kasobe,f,19800513
rec-559-org,afr,nyoike,jacoba,m,19410810
rec-560-org,afr,mwana,mugasa,,20011205
rec-561-org,afr,shambe,kubu,,19530108
rec-562-org,afr,ili,aporu,f,19791212
rec-563-org,afr,sowande,kinyanjui,f,19840621
rec-564-org,afr,chibueze,madden,f,19771110
rec-565-org,afr,tayri,moroka,f,
rec-566-org,afr,lisimba,wiki,,19660427
rec-567-org,afr,nwadi,sillands,m,19470925
