rec_id, culture, sex, date_of_birth, given_name, surname, blocking_number
rec-360-dup-0, afr, f, 19300518, fassil, schmid, 5
rec-2417-org,   afr, f, 19410428, wanjala, langa, 7
rec-267-org,   afr, f, 19650404, mersha, lbvolu, 6
rec-1034-dup-0, afr, f, 19921017, faba, etiba, 5
rec-1378-org,   afr, f, 19040517, aisha, mbale, 6
rec-1587-org,   afr, f, 19590623, ajia, govindsamy, 2
rec-2242-org,   afr, f, 19771220, rakohaja, steven, 5
rec-2749-dup-0, afr, f, 1964 504, , cheruiyot, 5
rec-693-org,   afr, , 19410830, kwarmine, fairweather, 9
rec-2648-org,   afr, f, 19010209, babukar, jammeh, 2
rec-997-org,   afr, f, 19100325, oshe, gutjahr, 7
rec-2042-org,   afr, f, 19700226, karume, gertenbach, 7
rec-977-org,   afr, f, 19360405, mlahwa, keulder, 8
rec-2363-org,   afr, f, 19450913, tette, kubatsi, 8
rec-116-org,   afr, f, 19180516, meles, kughegbe, 5
rec-418-org,   afr, f, 19130704, chidozie, rubelli, 0
rec-1226-dup-0, afr, f, 1911100 , jifunza, ekpukhon, 2
rec-1694-org,   afr, f, 19571008, duka, shver, 4
rec-2189-dup-0, afr, f, 19121211, uanina, snibbe, 1
rec-2325-dup-0, afr, f, 19920119, bobank, akaranga, 7
rec-1829-dup-0, afr, f, 19020226, kawaida, chimmole, 0
rec-1637-dup-0, afr, , 19910220, zahran, kiprotic, 9
rec-1883-org,   afr, m, 19830221, yusufu, crawford, 4
rec-2523-dup-0, afr, f, 19920420, fai a, wabukala, 3
rec-1756-dup-0, afr, f, 19431004, udexukwu, badier, 0
rec-150-org,   afr, f, , kgosi, chongo, 3
rec-556-org,   afr, m, 19100225, nombulelo, makatiani, 3
rec-2076-org,   afr, , , mtawa, kamencu, 9
rec-398-org,   afr, f, 19501020, isioma, meyntjes, 5
rec-271-org,   afr, f, 19921224, okikiola, nazareth, 1
rec-2193-org,   afr, f, 19420917, kenyanna, kachepa, 7
rec-1484-org,   afr, , 19181218, tilahun, duiker, 2
rec-907-dup-0, afr, f, 19660219, amknna, okoye, 0
rec-2013-org,   afr, f, 19151219, mbongeni, ssekyaaya, 0
rec-2342-org,   afr, f, 19970824, tumpe, fraser, 7
rec-2626-dup-0, afr, f, , , milbu row, 2
rec-2367-dup-0, afr, , 19290201, lakes, esieme, 4
rec-1847-dup-0, afr, f, 19590224, nwankwo, herman, 9
rec-887-dup-0, afr, m, 19150628, awa , byabagambi, 0
rec-1423-org,   afr, f, , , muchoki, 2
rec-1490-org,   afr, , 19170204, nyawira, moonsamy, 1
rec-333-dup-0, afr, f, 19080702, zhhhaleel, myboto, 6
rec-716-dup-0, afr, f, 19130827, madhubuti, nanu, 5
rec-1726-org,   afr, , 19741023, oringo, oshaniwa, 4
rec-1048-org,   afr, f, 19960704, shamsedeen, dilomprizulike, 7
rec-1190-dup-0, afr, f, 19690715, turuji, loret, 3
rec-369-org,   afr, f, 19490628, sauda, winogrodsky, 2
rec-2680-org,   afr, m, 19250816, deshun, wanchinga, 9
rec-99-dup-0, afr, f, 19230519, khaya, hurte r, 0
rec-1474-org,   afr, m, 19361231, obadele, nowell, 4
rec-2401-org,   afr, f, 19480215, jededish, haydar, 7
rec-2856-org,   afr, f, 19130209, abuu, north, 5
rec-292-dup-0, afr, f, 19570107, rhaxma, , 3
rec-1964-org,   afr, f, 19050329, ridhaa, seyfferdt, 0
rec-2643-dup-0, afr, f, 19710618, marietjie, ho z, 3
rec-2809-org,   afr, f, 19051117, menza, schoombee, 4
rec-1585-org,   afr, f, 19780827, bangababo, muntanga, 3
rec-1479-dup-0, afr, f, , nini, makubuia, 7
rec-280-org,   afr, f, 19010207, mwangi, sinkolongo, 6
rec-2144-org,   afr, f, 19810823, nne, , 3
rec-364-org,   afr, m, 19700321, auzhane, trim, 8
rec-1306-dup-0, afr, f, 19400102, muhi ma, peyper, 6
rec-2983-org,   afr, , 19590916, bilali, olayombo, 9
rec-2358-org,   afr, f, , kiho, kirui, 3
rec-1260-org,   afr, f, 19740725, liyongo, pietersen, 8
rec-1658-org,   afr, f, 19021210, sikambagi, muloki, 2
rec-2104-org,   afr, f, 19761125, amauchech, bannatyne, 9
rec-2563-dup-0, afr, f, 19950217, zamani, mera he, 4
rec-2092-org,   afr, m, 19901023, adedagbo, futter, 8
rec-957-dup-0, afr, f, , kyereti, ongery, 1
rec-2420-org,   afr, f, 19711116, chuioke, kuys, 6
rec-346-dup-0, afr, m, 19590905, ubwa, lcasase, 3
rec-366-dup-0, afr, f, 19300208, beluchy, magnussen, 4
rec-2256-org,   afr, , 19730916, fredsen, dubusson, 8
rec-2155-org,   afr, , 19250605, usi, olajengbesi, 6
rec-790-org,   afr, m, 19920613, kimotho, vorster, 2
rec-1447-dup-0, afr, , 19151107, lisimba, chakombo a, 5
rec-2123-org,   afr, f, 19680310, nonzenzel, pietersen, 7
rec-2071-org,   afr, m, , bekele, kalabulo, 7
rec-2336-org,   afr, f, 19100808, shami, kaburu, 5
rec-191-org,   afr, f, 19040120, munashe, muter, 4
rec-2084-org,   afr, f, 19020705, bushira, mutebi, 2
rec-1756-org,   afr, f, 19431004, udechukwu, badier, 0
rec-1173-org,   afr, , , yamarshet, sayce, 5
rec-861-dup-0, afr, f, 19860928, ekenedili, kasana, 9
rec-2434-org,   afr, , 19690712, chinarah, lyrikal, 2
rec-2360-dup-0, afr, , 19501127, tesse a, chitila, 3
rec-2961-org,   afr, f, 19720713, mavivi, hingwale, 3
rec-508-dup-0, afr, m, 19940530, nata , , 4
rec-1723-dup-0, afr, f, 1q770309, ashantae, haambokoma, 2
rec-170-org,   afr, f, 19171231, tafiti, basajjabalaba, 2
rec-1131-dup-0, afr, , 19560725, akintunde, desfo untain, 8
rec-1933-org,   afr, f, 19500102, teleza, scruby, 5
rec-345-dup-0, afr, , 19990917, banaza, brigidi, 4
rec-2590-org,   afr, f, 19080112, kanikah, mollett, 0
rec-155-org,   afr, m, 19620426, oafe, surmon, 7
rec-1507-org,   afr, , 19830905, olamodi, kipruto, 6
rec-1805-dup-0, afr, f, 19390613, sib usiso, cary, 4
rec-1184-dup-0, afr, f, 19141105, damiso, , 0
rec-2785-org,   afr, f, , sisi, laporte, 3
rec-629-org,   afr, f, 19990302, ibeonukara, naikuni, 6
rec-112-dup-0, afr, f, 19271142, ayinde, werner, 7
rec-1166-org,   afr, f, , okereke, sitwala, 1
rec-2092-dup-0, afr, m, 19901023, adedagbo, vutter, 8
rec-2946-org,   afr, f, 19670425, uvatera, motsamayi, 5
rec-1962-dup-0, afr, f, 19100731, okwy, sanderman, 0
rec-232-org,   afr, m, 19970419, pumla, laboso, 9
rec-1707-dup-0, afr, f, 19640414, bwjide, timm, 6
rec-911-org,   afr, , 19610527, chidieber, otenyo, 0
rec-2678-dup-0, afr, m, 19220510, og ukeye, jumbo, 7
rec-1912-dup-0, afr, f, 19200812, nanyanicka, lwara, 5
rec-960-dup-0, afr, f, 19101226, nurisha, hardin g, 6
rec-823-org,   afr, , 19081118, , maduna, 6
rec-1872-org,   afr, f, 19680312, mun, nkhwazi, 1
rec-1210-org,   afr, f, 19210316, elimu, baiya, 8
rec-535-org,   afr, f, 19431117, , yuyi, 4
rec-1113-org,   afr, m, 19580321, ndale, chikwalakwala, 1
rec-1073-dup-0, afr, , 19150401, rashwn, streak, 3
rec-738-org,   afr, , 19120403, kosisochu, chepkirui, 7
rec-791-org,   afr, f, 19331109, onwuamaeze, dabiri, 2
rec-2675-org,   afr, f, , negue, slaughter, 6
rec-2776-org,   afr, , 19510107, obuya, maiyo, 1
rec-1441-dup-0, afr, f, 19800401, stakidi, deas, 8
rec-773-org,   afr, f, 19190604, miniya, gochin, 3
rec-2226-dup-0, afr, f, 19950716, olustola, bishonga, 8
rec-1634-org,   afr, f, 19450928, shavonda, parbhoo, 1
rec-2551-org,   afr, f, 19460226, azenia, kwambai, 0
rec-811-org,   afr, f, 19831130, nasike, mbityi, 4
rec-172-org,   afr, m, 19330112, onuchukwu, simotwo, 1
rec-1464-org,   afr, f, 19760402, zalika, minny, 9
rec-2280-org,   afr, m, 19680413, adla, chiassaro, 5
rec-2898-org,   afr, m, 19081023, awena, rayner, 6
rec-2432-dup-0, afr, f, 19910607, alem, oyesa ya, 9
rec-2309-dup-0, afr, f, 19830227, ziyapaya, apate, 9
rec-1167-dup-0, afr, f, 19450609, makin i, , 6
rec-1739-dup-0, afr, , 19340821, duecta, museli, 0
rec-1919-org,   afr, f, 19540308, chiku, ereng, 6
rec-2142-dup-0, afr, f, 19070820, kamali, iyiasi, 9
rec-2433-org,   afr, m, 19390120, kanikwa, holdaway, 1
rec-2777-org,   afr, , , mijiza, fischer, 0
rec-1763-dup-0, afr, f, 19440701, folake, laubsher, 6
rec-2159-org,   afr, f, 19100106, zalika, mwalwanda, 5
rec-1645-dup-0, afr, , 19560621, anab , ongondo, 4
rec-1618-org,   afr, m, , odinakachukwu, martyrs, 0
rec-807-org,   afr, f, 19510525, mundhir, moduble, 0
rec-1253-org,   afr, m, 19921215, ajulu, durbin, 0
rec-2434-dup-0, afr, , 196907 2, chinarah, lyrikal, 2
rec-23-dup-0, afr, , , urb i, mathee, 2
rec-1146-dup-0, afr, , 19071129, nonhle, molam, 5
rec-1281-dup-0, afr, , 19100927, tameeka, thesiker, 5
rec-1819-org,   afr, m, , azeggagh, kearney, 0
rec-338-org,   afr, f, 19740629, khatibu, herman, 6
rec-945-org,   afr, f, 19540711, oding, okpako, 5
rec-1879-org,   afr, f, 19970424, adhiambo, aitken, 7
rec-2617-org,   afr, , , oringo, mwenya, 4
rec-1302-org,   afr, f, 19640906, rukiya, ekpuk, 6
rec-1261-dup-0, afr, f, 19081205, bayi, llewellyn, 7
rec-892-org,   afr, f, 19690118, , fitzgerald, 1
rec-2754-org,   afr, f, 19341010, rayray, gemechu, 0
rec-2176-org,   afr, f, 19650216, miano, zegeye, 0
rec-481-org,   afr, f, 19040823, doto, maunga, 8
rec-301-org,   afr, f, 19150730, nehanda, aluka, 8
rec-111-dup-0, afr, f, 19640324, karega, oyarelchua, 9
rec-2944-dup-0, afr, m, 19780821, mwasham, pyabagambi, 3
rec-1746-dup-0, afr, f, 19270326, masiculele, magill, 9
rec-1904-org,   afr, m, , shuwani, makweembo, 8
rec-816-org,   afr, f, 19061011, ejike, lourens, 3
rec-487-org,   afr, f, 19600110, okwudilichukwu, dickason, 1
rec-1305-dup-0, afr, , 19160605, nyarai, greyvensdeyn, 5
rec-1144-dup-0, afr, f, 19740121, wnissa, machar inyang, 2
rec-337-org,   afr, , 19590923, kambarage, strang, 7
rec-1120-dup-0, afr, f, 19320320, amok e, lennox, 4
rec-2288-dup-0, afr, m, , odhiambo, molle , 5
rec-482-dup-0, afr, f, 19161226, demejsie, little, 3
rec-242-org,   afr, , 19780610, fauziya, woodhead, 2
rec-2638-dup-0, afr, , 19620321, natambu, sing r, 6
rec-484-org,   afr, m, 19250711, ruhakena, nwanganga, 4
rec-2696-dup-0, afr, f, 19470209, ikhezi, devo , 7
rec-461-org,   afr, f, 19860928, zeyana, kloner, 7
rec-1274-org,   afr, f, 19940414, bahari, kibitok, 0
rec-2344-org,   afr, f, 19780829, melithafa, matlou, 3
rec-627-dup-0, afr, f, , akael, mmualefe, 6
rec-1058-org,   afr, f, 19771030, thokozile, osita, 3
rec-1042-org,   afr, f, 19990526, hansie, urry, 4
rec-523-dup-0, afr, f, 19060729, jamaly, sata, 5
rec-2278-dup-0, afr, m, 19590 25, chinyere, ivuti, 2
rec-946-org,   afr, f, 19110717, tantor, cotran, 9
rec-2218-dup-0, afr, f, 19090626, hasn u, moosa, 5
rec-8-org,   afr, m, 19860802, maysara, girei, 2
rec-2549-org,   afr, f, , makeda, jamal, 9
rec-1893-dup-0, afr, f, 19730906, noma, straus, 4
rec-1620-dup-0, afr, f, 19410627, kashsy, echesa, 0
rec-804-org,   afr, f, 19570511, kigongo, liesker, 7
rec-1855-dup-0, afr, m, 19710310, pra, unwin, 1
rec-2819-dup-0, afr, f, 19190716, emeka, wamwri, 8
rec-2928-org,   afr, f, 19491108, rafiki, samara, 5
rec-1085-dup-0, afr, , 19670919, kimbareta, mopepoa, 7
rec-180-org,   afr, f, 19720919, saran, , 5
rec-2085-org,   afr, , 19881106, nkruma, karuhanga, 9
rec-2840-dup-0, afr, f, 19710617, muti i, govender, 0
rec-1468-org,   afr, , 19640206, betserai, anyanga, 9
rec-255-dup-0, afr, f, 19081215, ayu ba, kayongomutumba, 9
rec-2814-dup-0, afr, f, 19460628, adwoa, ekessa, 8
rec-2988-org,   afr, m, 19980109, maocha, marende, 2
rec-1653-org,   afr, f, 19580429, ayobunmi, daramola, 1
rec-527-dup-0, afr, f, 19440720, tilibe, sebe, 7
rec-1571-dup-0, afr, , 19600717, natanbu, ludek, 4
rec-1474-dup-0, afr, m, 19361231, obad le, nowell, 4
rec-1579-dup-0, afr, f, , milkias, ho gg, 3
rec-2991-dup-0, afr, f, 19151024, chidike, akkermans, 7
rec-100-dup-0, afr, f, , mpenz , , 2
rec-948-dup-0, afr, m, 19570713, wezna, katvmwa, 9
rec-1457-org,   afr, f, , meti, tunney, 1
rec-1161-org,   afr, f, 19081003, leroi, frankim, 9
rec-2141-org,   afr, , 19090801, orlain, swann, 2
rec-1361-org,   afr, f, 19010401, lisimba, boit, 1
rec-2399-org,   afr, m, 19611221, elon, mayumbelo, 0
rec-662-org,   afr, f, 19900227, njanu, grund, 4
rec-1059-dup-0, afr, f, 19050505, bushifa, manser, 5
rec-1095-org,   afr, f, 19111103, tuponile, sneddon, 9
rec-1400-org,   afr, f, 19670703, wangai, ndumba, 4
rec-2776-dup-0, afr, , 19510107, obuya, maioy, 1
rec-800-dup-0, afr, f, 199006 18, fenda, elliot, 6
rec-1852-dup-0, afr, m, , yakini, guillermain, 9
rec-556-dup-0, afr, m, 19100225, nompulelo, makatiani, 3
rec-2504-org,   afr, f, 19891114, ibru, echeruo, 6
rec-1008-org,   afr, , , aqzer, sami, 8
rec-2247-org,   afr, f, 19950405, ibezimako, molwantwa, 5
rec-2617-dup-0, afr, , , orinko, mwenya, 4
rec-464-dup-0, afr, , , lipapwiche, asttatke, 4
rec-1238-dup-0, afr, , 19410731, bezait, matibini, 5
rec-1044-dup-0, afr, f, 19040901, ndla, goshu, 0
rec-455-dup-0, afr, f, 19730503, lalaina, jhabi, 8
rec-399-org,   afr, f, 19940307, goukouni, piek, 1
rec-759-dup-0, afr, , 19291008, ajiai, selepe, 6
rec-1647-org,   afr, m, 19261024, asrat, jennings, 4
rec-524-dup-0, afr, f, 19720313, jeghada, lelel, 8
rec-606-org,   afr, f, 19320915, oluwafunmilayo, werner, 2
rec-543-org,   afr, f, 19090503, anulka, langeveld, 0
rec-696-org,   afr, f, 19991017, haymanot, kaswende, 6
rec-86-dup-0, afr, , 19140501, hruna, madge, 3
rec-898-dup-0, afr, f, 19821020, ikuseghan, ztyle, 9
rec-1988-org,   afr, f, 19171222, bisa, munyonga, 3
rec-2453-org,   afr, f, 19441125, wafula, akintola, 5
rec-1557-dup-0, afr, m, 19061119, teshome, desca ly, 8
rec-469-org,   afr, f, 19890815, mtundu, dilomprizulike, 5
rec-2620-org,   afr, m, 19640422, bello, merid, 5
rec-582-org,   afr, f, , olufemi, mynhaardt, 5
rec-2296-dup-0, afr, f, 19501211, nyawela, frojt, 1
rec-1524-org,   afr, , 19540907, okuda, mbata, 0
rec-2942-org,   afr, f, 19050521, jamali, chulumanda, 9
rec-1614-org,   afr, f, 19760716, psammetichus, mighty, 0
rec-1115-org,   afr, f, 19160502, folake, chirwa, 4
rec-2241-org,   afr, f, 19441009, odour, smart, 4
rec-617-org,   afr, , 19460502, omwancha, torunarigha, 2
rec-740-dup-0, afr, f, 19940430, ghijo, prynn, 8
rec-1451-org,   afr, f, 19850121, delon, lucas, 9
rec-148-dup-0, afr, f, 19670801, mebret, schutze, 7
rec-1969-org,   afr, f, 19950630, ghanim, ejeta, 4
rec-293-org,   afr, f, 19860419, arziki, tshipala, 7
rec-1283-dup-0, afr, , 19840418, sad kika, solari, 6
rec-314-dup-0, afr, f, 19690729, ndid, kamure, 6
rec-1728-dup-0, afr, m, 19160317, daib, randlehovv, 7
rec-1059-org,   afr, f, 19050505, bushira, manser, 5
rec-134-org,   afr, f, 19660603, mawuli, schickerling, 3
rec-989-dup-0, afr, f, 19370709, zamra, shimper, 3
rec-2634-org,   afr, , 19270101, nocawe, sipalo, 4
rec-143-org,   afr, f, 19210706, ajoke, temile, 7
rec-1712-org,   afr, f, 19230325, muombwa, gatheru, 8
rec-994-org,   afr, f, 19941231, ozoro, lekwot, 1
rec-1742-org,   afr, , 19110521, ogunkeye, ezeh, 2
rec-663-org,   afr, f, 19681030, ato, abenthum, 9
rec-1272-dup-0, afr, m, 19490502, lubaya, dorrinvton, 8
rec-2890-org,   afr, f, 19220810, uheri, ejindu, 8
rec-966-org,   afr, f, 19330603, omitowade, kalilele, 2
rec-2782-dup-0, afr, f, 19310712, jin ki, , 1
rec-2309-org,   afr, f, 19830227, ziyapaya, abate, 9
rec-1088-org,   afr, , 19911214, akuako, swale, 2
rec-1297-org,   afr, f, 19281108, kagale, magashi, 4
rec-5-dup-0, afr, f, 19300518, mariama, konyegwachje, 5
rec-916-org,   afr, , 19460912, uduakobong, nnannyanzi, 8
rec-1211-org,   afr, f, 19351017, shalilah, jappie, 5
rec-1164-org,   afr, m, 19620326, adjan, schlebush, 5
rec-1870-org,   afr, m, 19180612, deshiki, kutesa, 8
rec-1375-dup-0, afr, f, 19780605, niogu, rademan, 8
rec-1603-org,   afr, , 19070407, dilibe, imam, 4
rec-1693-org,   afr, f, 19610916, chandaki, nielsen, 4
rec-2389-org,   afr, f, 19160416, onwughara, biemba, 9
rec-2063-dup-0, afr, f, 19320619, anan, gla dwin, 3
rec-1182-org,   afr, f, 19570323, tadla, waller, 8
rec-236-dup-0, afr, f, 19930706, rumaliza, witolac, 5
rec-1841-org,   afr, , 19270319, nar, ajumogobia, 4
rec-2516-dup-0, afr, , 19741119, watende, fouten, 7
rec-1210-dup-0, afr, f, 19210316, elimu, haiya, 8
rec-336-org,   afr, m, 19041205, ladonn, nkore, 5
rec-1520-dup-0, afr, , 19251124, baiari, ahunanya, 0
rec-1413-dup-0, afr, , , sandurai, nordien, 2
rec-334-org,   afr, f, 19550727, sahlu, okesola, 6
rec-184-org,   afr, m, 19460427, akinwole, hill, 1
rec-1373-org,   afr, f, 19970913, tizemt, luse, 7
rec-2078-org,   afr, f, 19370114, kiongozi, kwemoi, 2
rec-750-org,   afr, , , oboi, singer, 3
rec-993-org,   afr, , , tamela, debele, 8
rec-505-dup-0, afr, f, 19400822, zuri, inzikuru, 6
rec-1626-dup-0, afr, f, 19800313, ridhaa, , 3
rec-2153-dup-0, afr, , 19770821, bushiri, chelanfat, 2
rec-329-dup-0, afr, f, 19180305, , marie , 3
rec-2523-org,   afr, f, 19920420, faida, wabukala, 3
rec-1413-org,   afr, , , shandurai, nordien, 2
rec-2314-org,   afr, , 19521103, essian, udechukwu, 9
rec-1364-org,   afr, f, 19040229, hailu, bannatyne, 6
rec-105-dup-0, afr, f, 19700 508, med, miyoba, 1
rec-78-org,   afr, m, 19500913, limbani, fakier, 9
rec-1060-dup-0, afr, , 19360906, tsekanj, rottner, 7
rec-247-dup-0, afr, f, 19360307, jiwa, oha, 0
rec-877-org,   afr, f, 19480517, oraefo, machona, 6
rec-1537-org,   afr, f, 19620501, babatunji, nsamba, 8
rec-330-dup-0, afr, f, 19494814, sharufa, umar, 4
rec-654-dup-0, afr, f, 19601013, nwagbsoo, cheney, 2
rec-2372-dup-0, afr, f, 19610805, afamefula, nyam u, 2
rec-1038-dup-0, afr, , 19521200, gezan, gebremarkos, 3
rec-1517-dup-0, afr, f, 19780527, kagers, amaefule, 5
rec-477-org,   afr, f, 19521031, kenya, onyangoobbo, 3
rec-238-org,   afr, m, 19620121, kwadwo, harmzen, 9
rec-509-org,   afr, f, 19050217, ntombizod, thornton, 2
rec-2403-dup-0, afr, f, 19270721, kahina, ncku, 7
rec-2843-org,   afr, f, 19220306, worknesh, mphuka, 8
rec-1930-dup-0, afr, f, 19921122, fula, kisa, 9
rec-926-dup-0, afr, , 1917 615, ndaula, ehiosun, 0
rec-2287-dup-0, afr, f, 19170115, malaika, mugoy , 0
rec-2492-dup-0, afr, m, , amali, gum bo, 4
rec-1773-dup-0, afr, m, 1926050 , nkemka, alubaha, 5
rec-2682-org,   afr, f, 19351028, sitalba, erasmus, 7
rec-159-org,   afr, , 19650418, obijiaku, berhanu, 8
rec-843-dup-0, afr, m, 19300 27, mafuane, ekaette, 7
rec-2426-dup-0, afr, m, 19340914, takebah, sempijja, 7
rec-492-org,   afr, f, 19980520, nyanza, like, 6
rec-1062-org,   afr, f, 19130916, onyeorulu, froome, 6
rec-893-dup-0, afr, f, 19191211, kaisa, akiode, 5
rec-294-dup-0, afr, f, 19470920, pemphero, gairns, 6
rec-1154-org,   afr, f, 19301223, milele, eygelaar, 5
rec-2-org,   afr, , 19460726, lekan, marumoagae, 4
rec-1189-org,   afr, f, 19880424, kudyauku, hoosen, 4
rec-2797-org,   afr, f, 19930306, muombwa, aliker, 9
rec-2929-org,   afr, f, 19550302, okeke, shadford, 4
rec-2936-dup-0, afr, , 19350127, quaashie, mbidi, 7
rec-622-dup-0, afr, f, 1918 610, unissa, motlana, 4
rec-2199-org,   afr, f, 19190829, dike, adedibu, 0
rec-2179-org,   afr, f, 19011021, aminia, kapenta, 6
rec-2836-dup-0, afr, f, 19940501, ayize, , 7
rec-2679-org,   afr, , 19051218, , muthamia, 2
rec-697-org,   afr, f, 19110203, afraisa, chikandi, 1
rec-1851-org,   afr, , 19900906, issatu, dujanga, 0
rec-961-org,   afr, f, 19951129, larbi, denicker, 4
rec-1952-dup-0, afr, , 19100508, fredsen, kata on, 9
rec-2901-org,   afr, f, , nkosinath, pearce, 2
rec-621-dup-0, afr, m, 19780618, fati, shaw, 8
rec-2416-dup-0, afr, , 19951221, muruti, , 2
rec-2190-org,   afr, f, 19271128, mwanyisa, tunoi, 5
rec-2122-dup-0, afr, f, 19271011, akwet, jamal, 6
rec-2894-dup-0, afr, f, 19060202, sh ami, mukooza, 4
rec-2621-dup-0, afr, f, |9400130, , kraft, 5
rec-1846-org,   afr, , 19140529, adelaja, ndambuki, 8
rec-347-dup-0, afr, m, 19710718, lapaan, marton, 4
rec-2043-dup-0, afr, f, 19000603, bibi, aikhionbare, 3
rec-1410-dup-0, afr, f, , tesema, onzima, 7
rec-1588-dup-0, afr, , 19290509, susaa, mwald, 3
rec-904-org,   afr, f, 19660214, wanniya, nsabila, 9
rec-1246-dup-0, afr, f, 19711025, obin a, verwoerd, 1
rec-764-org,   afr, f, 19210104, selamawit, walker, 6
rec-1687-org,   afr, , 19710712, sabola, ngulube, 9
rec-2010-dup-0, afr, f, 19690706, megdda, aiyenugba, 5
rec-101-org,   afr, f, 19440121, shakarah, ntinga, 9
rec-2320-org,   afr, f, 19201119, , mwembeshi, 4
rec-2631-dup-0, afr, f, 19531225, mandla, mieni, 5
rec-1356-org,   afr, f, 19150314, tegama, stevenson, 1
rec-2483-org,   afr, f, 19820301, ezelagbo, kiptum, 8
rec-1546-dup-0, afr, m, 19430207, odhia bo, dickson, 4
rec-1555-org,   afr, f, 19140226, moyo, makondo, 0
rec-1730-org,   afr, f, 19680923, wiza, kibuule, 3
rec-1378-dup-0, afr, f, 19040517, aisha, mbal , 6
rec-235-org,   afr, f, 19000103, salina, efevberha, 3
rec-11-org,   afr, f, , zawad, goodluck, 9
rec-2964-dup-0, afr, f, , yejid, ambaka, 3
rec-2173-org,   afr, , 19890611, kariuki, seko, 6
rec-51-org,   afr, f, 19550217, lolonyo, munyeme, 6
rec-1347-org,   afr, f, 19910404, oxyntas, munatamba, 1
rec-1786-org,   afr, f, 19320520, , moshood, 2
rec-2347-org,   afr, m, , nkokheli, pullen, 5
rec-1671-org,   afr, f, 19311201, muhammadu, shrekeezy, 9
rec-107-org,   afr, f, 19690804, marii, dadswell, 0
rec-2209-dup-0, afr, f, 19900815, abid n, verdi, 2
rec-2047-org,   afr, m, 19840406, mutope, sumaili, 4
rec-1445-org,   afr, f, , sittina, start, 6
rec-1598-org,   afr, f, 19930224, tupokigwe, imasiku, 4
rec-2292-org,   afr, f, 19520729, dayo, amata, 8
rec-1498-org,   afr, f, 19211211, muga, shuttleworth, 0
rec-1589-org,   afr, f, 19750306, kawawe, simpungwe, 1
rec-1585-dup-0, afr, f, 19780827, bangabbao, muntanga, 3
rec-1947-dup-0, afr, , 19821129, obijidku, lbvolu, 3
rec-1655-dup-0, afr, , , jono, humphries, 1
rec-181-dup-0, afr, , 19400213, abarony, molefi, 4
rec-1188-dup-0, afr, f, 1971 731, aggur, sabu, 4
rec-727-dup-0, afr, , 19000913, zidant, limbert, 2
rec-947-dup-0, afr, , 19681014, okaivo, kanyanta, 4
rec-1867-org,   afr, f, 19390911, muhend, hough, 0
rec-759-org,   afr, , 19291008, ajia, selepe, 6
rec-1801-dup-0, afr, , , inyene, maj r, 2
rec-2179-dup-0, afr, f, 19011021, aminia, ckapenta, 6
rec-719-org,   afr, , 19540524, ichchaam, festile, 3
rec-2935-org,   afr, f, 19470927, keasha, magezi, 1
rec-1449-dup-0, afr, f, 19710126, sibonakaliso, ma xwell, 9
